Blog	close	ever	blog	without	list	part	nbsp	want	things	got	job	or	lot	words	before	only	has	original	face	i	including	couple	well	asked	was	name	take	book	week	each	top	around	be	u	special	any	off	stuff	content	times	else	deal	so	june	problem	point	ways	amazon	would	example	number	page	can	place	clear	looks	end	car	friends	started	if	create	use	does	gets	real	help	free	idea	may	social	her	told	ve	great	side	action	bad	while	going	available	much	than	were	show	sure	could	year	four	live	saying	probably	most	water	long	another	media	check	maybe	back	p	almost	kind	during	said	latest	possible	look	they	who	youtube	security	turn	over	building	big	when	least	but	google	took	case	go	behind	even	way	thing	used	other	been	keep	summer	month	two	especially	down	here	make	think	good	really	support	email	music	piece	night	put	system	ideas	its	gave	ceo	process	something	change	thought	anything	hours	just	buy	where	six	next	say	means	person	then	c	went	line	service	seen	should	my	last	later	across	him	by	design	find	business	being	once	reason	director	read	videos	thousands	health	enough	co	play	view	money	had	pretty	everyone	days	always	fact	since	internet	them	b	re	office	interesting	too	open	into	company	about	event	more	less	will	their	m	left	web	family	seems	light	government	our	three	thursday	best	set	site	state	own	morning	don	doesn	needs	website	president	isn	me	work	better	voice	post	made	takes	today	under	movie	new	feel	few	account	come	because	right	major	different	looking	community	everything	same	trump	she	how	we	self	some	one	actually	far	tell	comes	local	not	driving	man	stories	care	game	us	store	whether	know	issue	project	twitter	both	american	doing	all	entire	data	recently	world	photo	goes	first	donald	talk	many	might	people	features	app	facebook	easy	no	out	full	story	there	also	according	together	between	through	try	which	ago	half	having	why	very	recent	based	small	appeared	called	shows	bit	nothing	away	run	old	following	making	team	found	makes	every	someone	public	such	are	though	love	up	getting	working	get	start	power	like	your	market	com	future	wrote	ll	d	those	his	trying	video	won	never	writing	version	finally	using	he	reading	tv	do	years	months	did	believe	these	ask	air	second	home	already	says	group	see	pay	after	white	giving	past	house	hard	against	let	question	million	yet	watch	news	often	came	didn	running	become	important	have	tech	am	sense	an	life	little	again	now	what	day	e	until	stop	call	high	technology	need	give	still	john	time
Captain's Quarters	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	7	0	0	3	0	0	1	0	1	0	1	0	1	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	3	0	1	2	1	0	0	2	1	0	1	2	1	1	0	0	0	0	0	1	0	0	0	2	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	2	2	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	3	0	3	1	5	6	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	1	1	0	1	2	0	0	0	1	0	3	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	4	0	4	0	2	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	1
Matt Cutts: Gadgets, Google, and SEO	0	0	3	0	0	1	0	0	0	0	0	3	1	0	0	0	3	0	0	21	0	2	0	0	5	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	2	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	3	7	2	0	2	0	0	1	0	0	0	2	1	0	2	0	0	0	1	2	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	1	1	0	6	2	1	6	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	3	0	1	1	1	0	0	6	0	2	0	0	2	0	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	1	0	0	0	0	0	4	0	1	1	1	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	1	4	0	0	0	1	1	1	2	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	3	0	0	0	0	1	3	0	0	3	5	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3	1	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	2	0	2	0	2	1	3	0	0	0	0	0	1	0	1	1	0	1
Seth Godin's Blog on marketing, tribes and respect	0	0	0	1	2	0	10	0	0	0	3	5	1	0	1	0	1	0	0	1	0	0	2	0	3	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	2	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	6	0	0	4	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	6	1	0	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
mezzoblue	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	12	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	1	1	0	0	0	2	0	0	0	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	4	0	0	0	0	1	0	2	0	1	0	3	0	0	1	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	3	1	0	0	0	1	0	0	0	1	2	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	3	0	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	3	0	0	0	0	0	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
Quick Online Tips	0	1	0	2	0	1	0	2	0	0	0	1	0	0	0	2	1	10	0	2	0	0	2	0	2	18	0	6	0	0	6	0	1	0	1	0	0	0	1	0	0	0	3	0	1	0	0	9	0	1	0	0	2	0	0	0	0	0	0	0	1	4	2	0	0	0	0	3	0	0	6	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	1	0	0	2	20	0	1	1	0	1	5	0	1	0	0	1	0	0	0	0	0	3	6	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	13	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	5	1	2	0	0	0	1	0	0	1	0	0	0	0	3	0	11	0	0	1	0	5	8	0	1	5	0	0	0	0	0	0	0	0	1	0	0	16	2	0	2	0	1	0	0	0	0	3	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	13	0	0	1	0	1	0	0	1	3	0	1	10	0	0	0	0	0	0	0	1	5	0	0	0	2	3	0	1	0	10	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	1	0	0	0	0	2	0	0	1	11	1	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	1	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0
kottke.org	1	9	0	3	10	5	288	1	13	1	3	26	3	0	10	8	24	2	3	100	2	0	14	1	37	2	6	17	0	8	9	8	24	1	1	6	5	3	0	4	4	3	16	1	0	1	3	23	9	2	2	3	21	4	1	2	2	1	2	7	28	4	4	3	1	4	3	1	3	1	1	2	5	10	4	3	3	0	6	4	5	4	14	6	5	4	9	9	4	1	3	4	20	2	7	7	2	4	0	5	3	3	0	0	10	0	5	9	28	15	0	0	0	12	1	4	28	2	39	0	1	0	4	1	15	8	5	5	15	18	0	0	2	12	3	4	12	7	6	10	13	1	1	7	6	3	3	2	5	12	2	0	4	6	4	2	2	0	14	2	7	2	2	6	4	3	12	0	2	3	0	4	3	19	4	4	2	5	40	2	1	8	4	7	2	4	7	0	0	0	6	2	5	3	0	7	3	4	3	3	3	2	3	20	0	15	0	4	1	0	8	7	44	2	19	2	11	14	12	1	1	4	2	2	1	9	6	0	10	8	3	2	4	0	9	3	4	2	1	3	11	7	4	2	4	10	2	2	0	10	20	0	4	2	8	4	6	4	8	2	2	1	7	0	5	17	24	2	13	19	6	2	0	6	1	36	0	1	1	2	6	16	6	0	5	2	2	0	4	3	10	20	2	5	6	11	5	0	10	0	0	10	3	17	3	1	1	1	8	13	4	10	18	15	3	2	3	10	2	13	5	2	4	11	4	6	3	2	1	5	4	2	6	3	0	3	0	2	1	2	3	8	1	4	10	43	3	7	14	2	4	6	0	1	17	14	1	0	5	1	4	4	9	28	4	20	3	4	1	5	0	3	31	2	4	15	9	2	2	0	8	1	6	3	4	4	8	4	12	1	10	3	3	4	3	1	0	0	2	0	2	2	0	3	3	4	2	1	2	28	1	3	3	53	4	7	5	10	23	4	3	3	4	1	4	5	1	3	10	4	11
Google Blogoscoped	0	0	1	0	1	0	0	2	1	0	0	7	0	0	0	2	1	0	0	18	0	0	2	1	6	2	1	0	0	3	1	2	4	0	0	3	0	1	0	1	2	0	7	0	0	0	0	0	11	0	5	0	10	2	0	0	0	1	1	0	8	1	3	0	0	0	0	2	3	1	0	0	0	4	0	1	0	0	1	2	0	4	1	1	1	0	1	0	0	1	0	2	3	0	1	2	0	0	1	3	0	0	0	0	2	0	1	1	7	5	0	0	0	1	0	0	4	0	10	28	1	1	1	0	4	1	1	2	4	4	0	0	0	3	1	1	2	3	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	2	1	0	0	0	6	0	1	0	1	0	0	0	3	0	1	0	6	0	0	7	0	2	2	0	4	1	3	0	0	1	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	2	0	0	0	4	4	5	0	0	2	2	3	0	9	0	4	1	1	4	2	1	4	0	0	0	0	3	0	0	4	1	4	0	0	0	4	0	0	1	0	1	4	1	0	0	2	2	0	1	0	0	8	1	1	1	1	5	1	0	2	0	0	0	1	0	0	5	12	0	3	13	2	0	0	1	0	5	0	0	0	0	2	1	2	1	2	0	0	0	2	0	2	5	0	0	0	1	1	1	2	0	0	0	0	3	0	4	0	1	6	2	2	0	5	2	0	1	0	1	0	5	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	6	3	2	3	0	2	5	1	0	6	8	1	0	1	0	6	2	3	1	0	0	0	1	0	0	0	4	2	1	0	3	1	0	1	0	1	0	0	1	1	1	1	7	4	0	0	0	0	2	0	0	0	2	4	0	1	0	1	1	0	0	0	0	0	5	1	1	0	5	0	0	0	4	6	3	0	0	0	0	0	1	2	0	0	0	4
The Write News	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	15	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	4	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	15	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steve Pavlina	0	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	1	5	0	0	0	0	0	0	1	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	15	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	4	1	16	1	0	1	0	0	0	12	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	1	0	4	0	1	0	0	0	0	0	1	0	3	0	0	1	13	0	0	1	0	1	16	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	10	0	2	2	0	0	0	0	6	13	0	0	0	0	0	0	0	0	0	1	21	0	0	1	0	0	0	1	0	0	2	2	4	0	17	0	16	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	20	0	0	2	0	0	13	0	1	0	0	0	0	0	0	0	0	0	15	0	0	4	1	4	1	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	22	0	0	1	1	27	0	0	0	0	1	1	0	1	0	17	0	0	1	3	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	1	0	0	18	1	0	0	0	0	13	17	0	0	0	0	1	13	0	0	0	32	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	0	0	3	0	50	0	0	0	0	0	0	0	1	0	0	16
Autoblog	0	0	0	0	0	3	156	0	0	0	0	6	0	0	0	0	5	2	0	3	0	0	0	0	3	0	0	0	0	0	1	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	5	0	1	0	25	0	0	1	0	39	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	1	4	0	0	1	0	0	1	0	1	0	2	1	1	6	1	0	0	1	2	3	0	0	3	4	1	3	0	0	3	0	0	4	0	0	1	0	0	39	0	0	0	0	3	0	10	0	6	0	0	0	1	0	0	1	3	0	0	3	3	1	0	0	0	0	0	1	0	0	0	3	0	0	3	5	1	1	4	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	3	1	6	0	7	0	13	0	0	0	0	0	0	0	5	39	0	0	0	1	0	1	7	0	3	0	0	0	0	0	0	3	0	0	0	1	0	1	45	1	2	0	0	0	0	0	2	0	0	0	0	0	0	7	0	8	1	3	1	0	1	0	0	0	0	7	9	0	0	0	3	6	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	11	0	0	2	0	0	3	0	0	0	0	4	1	0	2	2	0	0	4	0	1	1	0	0	0	0	1	0	1	0	39	0	3	0	0	0	1	1	0	3	3	0	0	0	0	0	1	4	0	1	2	0	0	0	3	6	1	6	3	0	6	0	0	4	4	1	0	2	0	0	0	0	3	0	3	39	1	6	0	0	0	0	0	0	0	6	0	3	0	0	39	0	1	0	0	0	0	3	1	0	0	1	0	3	0	0	1	0	0	1	0	1	1	0	0	3	0	1	3	5	0	0	3	1	0	0	1	11	0	0	4	0	1
Latest from Crooks and Liars	0	2	0	1	0	0	0	1	0	1	0	2	1	1	1	4	0	1	0	9	0	1	2	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	7	8	0	1	0	0	0	0	0	1	4	2	1	1	0	0	0	0	3	0	1	1	1	0	3	0	1	0	0	0	1	0	0	0	1	1	1	3	0	1	0	2	0	2	1	0	2	0	0	0	2	0	1	0	0	0	0	2	0	0	0	1	3	0	1	1	7	7	0	0	0	7	0	1	1	0	2	0	1	0	1	0	2	0	1	0	1	0	0	0	0	0	0	7	6	1	3	1	0	0	0	1	0	0	2	0	0	1	0	0	0	2	1	0	0	2	2	0	0	0	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	5	0	0	0	3	1	1	0	2	0	0	7	1	3	0	0	2	4	1	1	0	0	0	0	0	1	1	4	4	0	1	1	1	0	5	0	3	0	8	8	3	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	2	1	0	0	4	0	2	1	0	0	0	1	0	2	2	1	3	0	0	0	0	3	6	0	0	0	0	0	2	3	3	1	7	0	1	6	0	0	1	0	0	6	4	0	0	6	0	2	0	0	1	0	0	8	0	3	0	2	0	0	0	0	0	2	1	1	0	2	2	7	0	0	1	0	3	9	0	0	3	2	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	2	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0	13	0	0	3	0	1	2	2	1	5	0	0	5	1	1	1	0	4	3	0	3	0	0	0	1	0	0	6	1	1	6	2	0	0	0	3	0	0	1	0	0	0	1	0	1	2	0	0	0	1	0	2	3	0	0	0	1	2	0	0	0	1	1	0	2	0	1	0	2	0	0	3	2	7	0	1	0	1	3	0	0	1	0	1	1	3
Lifehack	0	2	0	2	0	0	0	7	2	0	0	2	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	11	0	0	0	0	0	1	0	5	0	0	0	1	0	2	0	0	2	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	1	0	4	0	1	0	0	1	0	0	0	1	2	0	2	0	3	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	2	2	1	3	2	1	0	0	0	2	1	0	2	4	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	2	0	5	0	3	0	3	1	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	2	0	0	0	1	0	3	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	4	0	0	2	0	20	0	0	3	0	0	2	0	1	0	2	1	6	0	0	0	0	2	0	0	0	21	2	0	3	1	0	0	0	1	0	7	0	0	2	0	0	1	0	0	0	2	0	0	1	0	0	6	0	0	0	4	0	0	21	0	0	0	0	10	0	0	0	2	2	3	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	12	2	5	2	1	2	4	0	3	0	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	8	0	0	0	2	4	0	0	0	0	1	0	0	2	0	1	0	2	0	1	3	0	1	0	0	0	0	0	1	0	0	0	1	0	7	0	0	0	1	2	0	0	0	12	2	0	0	0	0	1	0	3	0	2	0	2
Mashable	0	3	0	0	1	0	0	3	3	2	0	18	1	0	3	5	14	0	0	7	0	2	5	1	9	2	3	0	2	5	3	3	17	3	0	2	2	0	3	1	1	2	19	11	2	1	2	0	4	1	1	0	12	0	0	3	2	1	0	1	10	0	2	0	2	0	1	0	1	2	4	2	2	6	1	0	3	1	5	5	3	5	1	5	2	4	5	5	1	3	0	2	11	2	2	2	5	0	3	2	1	0	1	2	3	2	0	5	17	9	5	0	1	6	0	0	6	1	15	1	1	1	1	0	8	5	4	1	6	4	1	0	0	4	0	1	6	5	4	4	6	0	0	7	1	4	3	0	0	9	0	1	0	3	1	1	0	1	14	1	0	4	2	2	1	1	3	0	1	0	3	1	2	1	0	0	0	1	21	2	1	1	3	1	0	1	31	2	0	1	3	3	1	0	3	3	2	1	1	0	1	2	1	3	12	12	3	3	1	0	5	6	43	0	66	4	14	14	3	1	2	3	0	1	0	5	1	9	4	0	1	2	5	0	9	4	0	0	1	1	4	1	1	0	5	4	1	1	0	7	16	2	1	1	6	3	3	3	2	2	0	0	2	7	0	6	11	0	4	14	1	3	2	1	0	11	3	1	0	1	10	6	3	1	1	1	0	10	3	1	2	17	2	0	0	5	3	0	3	1	0	5	3	6	4	0	6	2	4	11	1	0	11	22	3	2	0	3	2	7	2	0	1	4	9	1	0	0	0	2	0	2	0	2	1	2	1	4	1	1	3	3	1	0	1	22	2	1	8	3	0	6	0	0	15	10	0	14	4	0	6	8	2	9	1	9	1	4	0	0	0	0	10	0	1	3	2	0	0	2	8	0	3	2	2	5	2	1	23	1	2	0	1	0	0	5	2	0	1	5	1	5	0	1	2	3	0	1	0	10	6	2	0	7	1	3	1	7	8	1	6	3	1	1	0	0	2	1	1	6	5
Gizmodo	0	1	0	0	0	1	0	2	1	0	0	5	3	0	1	1	5	2	0	1	0	0	3	1	5	0	1	0	0	1	1	2	5	0	2	0	1	1	0	0	0	0	1	0	0	0	0	3	1	1	0	0	5	0	0	2	1	0	0	0	4	0	1	0	0	2	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	2	4	2	0	0	1	2	2	0	0	2	4	0	2	1	1	0	0	4	0	1	0	2	0	0	0	2	7	1	0	0	0	3	0	1	1	1	8	0	0	0	0	0	3	5	0	1	0	3	2	1	0	1	0	0	5	0	0	1	0	0	2	0	0	2	0	1	0	2	0	3	1	3	0	2	0	0	2	1	1	0	3	0	1	0	2	2	1	1	1	0	1	4	3	0	0	0	4	1	2	2	0	0	0	0	25	1	1	1	2	0	0	0	1	0	1	0	1	1	0	2	1	2	0	2	0	0	0	0	2	2	3	0	33	0	1	3	0	0	1	1	0	0	1	5	0	1	2	2	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	3	0	7	0	1	0	3	2	1	1	0	0	1	1	0	0	0	3	4	0	4	4	0	0	1	0	0	3	0	1	0	0	1	0	1	0	3	0	0	0	0	0	0	3	0	1	0	0	0	2	1	0	0	1	3	1	0	0	3	0	2	3	1	0	2	0	1	0	0	1	0	4	1	0	0	1	1	1	0	2	0	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0	1	11	0	0	2	1	1	5	0	7	4	7	0	0	1	1	0	1	2	5	0	3	2	2	0	0	1	0	1	0	3	1	4	0	0	0	3	0	3	1	1	0	2	0	2	0	6	0	0	1	0	1	2	0	0	1	2	0	0	1	0	0	2	0	0	3	0	0	0	12	7	2	0	4	3	1	0	1	0	0	0	1	2	0	1	0	4
